,Fixed-Threshold=0.3,Precision@threshold=0.3,Recall@threshold=0.3,F1-score@threshold=0.3
0,0.3,0.8196721298038162,0.6944444434799383,0.7518796484594978
1,0.3,0.9411764698961939,0.9078014177958855,0.9241876749807793
2,0.3,0.8284023663737264,0.8974358968606181,0.861538411088287
3,0.3,0.786610878331962,0.9690721644489318,0.8683602272752029
4,0.3,0.7992831538353823,0.9653679649500572,0.8745097540215329
5,0.3,0.7546012267623922,0.9723320154259557,0.8497408831437709
6,0.3,0.7277628030383388,0.9890109886487138,0.8385092676676275
7,0.3,0.5938242278874526,0.9999999996000001,0.7451564358865614
8,0.3,0.647058823393475,0.9967637537227301,0.7847133278591452
9,0.3,0.5029239765101513,0.9961389957543864,0.6683937376228251
10,0.3,0.5122377621482103,0.9965986391168031,0.67667431989237
11,0.3,0.42045454538628985,0.99615384577071,0.5913241590359906
12,0.3,0.5347758886345014,0.9829545451752969,0.692692646913984
13,0.3,0.49629629622277094,0.9940652816041349,0.6620552914150774
14,0.3,0.5535714284953885,0.9975247522283354,0.712014088245892
15,0.3,0.5293350716389393,0.9950980389717896,0.6910637843370966
16,0.3,0.46863468628922084,0.9973821986917847,0.6376568601630953
17,0.3,0.48036951495607744,0.9999999997596153,0.6489859154976775
18,0.3,0.41844769399117576,0.9946524061511623,0.5890735924243794
19,0.3,0.43933054388709936,0.9999999997619047,0.6104650737772136
20,0.3,0.4878787878295072,0.9938271602893359,0.6544715004566315
21,0.3,0.46051379634057904,0.9999999997933884,0.6306188492481011
22,0.3,0.3511520737003546,0.9973821986917847,0.5194273642742497
23,0.3,0.4555950266025226,0.9999999998050683,0.6259914151239586
24,0.3,0.42930591255961387,0.9940476188503873,0.5996408913722018
25,0.3,0.4444444444078646,0.9999999998148149,0.6153845727109386
26,0.3,0.39403706684979556,0.999999999795501,0.5653178784572184
27,0.3,0.41724941721699693,0.9981412637549923,0.5884931090422997
28,0.3,0.4023076922767455,0.9999999998087955,0.5737794433866793
29,0.3,0.3605442176598228,0.9999999997903564,0.5299999609861139
30,0.3,0.3894967176958791,0.9999999998127341,0.5606298808532899
31,0.3,0.4038325052942631,0.9999999998242531,0.5753285737215057
32,0.3,0.29979324601655455,0.9977064217895169,0.4610492489961605
33,0.3,0.37415881558720326,0.999999999820144,0.544564113109138
34,0.3,0.32892124418736457,0.9959919837683382,0.49452732580961145
35,0.3,0.36544637120324686,0.9999999998242531,0.5352774772108378
36,0.3,0.3170882171303462,0.9999999998054475,0.48149879243688326
37,0.3,0.3483754512425767,0.9999999998272885,0.5167335627021576
38,0.3,0.32094395278342513,0.9999999998161765,0.4859311824642601
39,0.3,0.31472957420513636,0.9999999998171847,0.47877458060972555
40,0.3,0.37218468466372834,0.9999999998487141,0.5424702107299123
41,0.3,0.3292615213587306,0.999999999831366,0.49540514230511806
42,0.3,0.37996733803048627,0.9985693846926225,0.5504731461447613
43,0.3,0.3193187865716169,0.9999999998333334,0.4840661189782828
44,0.3,0.3497664763700173,0.9985185183705899,0.5180629899759924
45,0.3,0.33079654995784896,0.9999999998466258,0.4971406412177474
46,0.3,0.3053892215416472,0.9999999998366014,0.46788987237816954
47,0.3,0.32763671873400213,0.9985119046133167,0.49338231570074886
48,0.3,0.31654676257474595,0.9999999998484849,0.4808742803794308
